attack_id,attack_name,start_time_raw,end_time_raw,primary_targets,start_datetime,end_datetime,duration_seconds
1,"Stage 5 Valve Manipulation — MV503/504 Open, MV501/502 Close",1:00:00 PM,1:05:00 PM,MV501–504,2026-03-11 13:00:00,2026-03-11 13:05:00,300
2,"Stage 1 Flow Disruption — MV101 Open, P101 & P102 Stop",1:40:00 PM,1:45:00 PM,"MV101, P101, P102",2026-03-11 13:40:00,2026-03-11 13:45:00,300
3,Florida Water Plant Scenario — Dosing Pump Activation & Sensor Spoofing,2:20:00 PM,2:25:00 PM,"P201–P206, MV201",2026-03-11 14:20:00,2026-03-11 14:25:00,300
4,Tank Overflow via LIT101 Spoofing — Schneider Demo Attack 01,2:30:00 PM,2:35:00 PM,LIT101,2026-03-11 14:30:00,2026-03-11 14:35:00,300
5,"Stage 5 Valve Manipulation — MV503/504 Open, MV501/502 Close (Repeat)",2:40:00 PM,2:45:00 PM,MV501–504,2026-03-11 14:40:00,2026-03-11 14:45:00,300
6,Tank Overflow via LIT101 Spoofing — Schneider Demo Attack 01,3:00:00 PM,3:02:00 PM,LIT101,2026-03-11 15:00:00,2026-03-11 15:02:00,120
7,"Stage 2 Parallel Pump Override — MV201 Open, P101 & P102 Run",3:02:00 PM,3:07:00 PM,"MV201, P101, P102",2026-03-11 15:02:00,2026-03-11 15:07:00,300
8,"Reverse Osmosis Backwash Diversion — MV302 Close, MV303 Open",3:20:00 PM,3:25:00 PM,"MV302, MV303",2026-03-11 15:20:00,2026-03-11 15:25:00,300
9,Forced Backwash Trigger via DPIT301 Spoofing — Ensign Pre-UAT Attack 1,3:45:00 PM,3:50:00 PM,DPIT301,2026-03-11 15:45:00,2026-03-11 15:50:00,300
10,Multi-Value Level Oscillation — LIT601 Spoofing Sequence — Ensign Pre-UAT Attack 3,4:10:00 PM,4:15:00 PM,LIT601,2026-03-11 16:10:00,2026-03-11 16:15:00,300
11,AIT402 High-Value Spoof Start – Using script,4:35:00 PM,4:40:00 PM,AIT402,2026-03-11 16:35:00,2026-03-11 16:40:00,300
