t_stamp,P1_STATE,LIT101.Pv,FIT101.Pv,MV101.Status,P101.Status,P102.Status,P2_STATE,FIT201.Pv,AIT201.Pv,AIT202.Pv,AIT203.Pv,MV201.Status,P201.Status,P202.Status,P203.Status,P204.Status,P205.Status,P206.Status,P207.Status,P208.Status,LS201.Alarm,LS202.Alarm,LSL203.Alarm,LSLL203.Alarm,P3_STATE,AIT301.Pv,AIT302.Pv,AIT303.Pv,LIT301.Pv,FIT301.Pv,DPIT301.Pv,MV301.Status,MV302.Status,MV303.Status,MV304.Status,P301.Status,P302.Status,PSH301.Alarm,DPSH301.Alarm,P4_STATE,LIT401.Pv,FIT401.Pv,AIT401.Pv,AIT402.Pv,P401.Status,P402.Status,P403.Status,P404.Status,UV401.Status,LS401.Alarm,P5_STATE,FIT501.Pv,FIT502.Pv,FIT503.Pv,FIT504.Pv,AIT501.Pv,AIT502.Pv,AIT503.Pv,AIT504.Pv,PIT501.Pv,PIT502.Pv,PIT503.Pv,P501.Status,P502.Status,MV501.Status,MV502.Status,MV503.Status,MV504.Status,PSH501.Alarm,PSL501.Alarm,P6_STATE,FIT601.Pv,P601.Status,P602.Status,P603.Status,LSH601.Alarm,LSL601.Alarm,LSH602.Alarm,LSL602.Alarm,LSH603.Alarm,LSL603.Alarm,attack_label,attack_id,attack_name,attack_start_time,attack_end_time
2019-12-06 10:05:00,3,658.661255,0.0,1,2.0,1,2,2.31352329,35.21533,8.205781,133.350418,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.79294443,155.579742,35.1494942,895.123047,1.84927773,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.9118,1.35578465,0,195.078186,2,1,2,1,2,Inactive,12,1.35695982,1.214423,0.113049328,0,7.02243042,190.0282,29.2232761,0.615226865,221.3535,3.38000178,194.068832,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:01,3,659.1716,0.0,1,2.0,1,2,2.31185722,35.21533,8.205781,133.401688,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.793777,155.579742,35.245533,895.123047,1.84697175,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.565735,1.35578465,0,195.078186,2,1,2,1,2,Inactive,12,1.35695982,1.2149353,0.113305382,0,7.02627563,190.0282,29.2232761,0.615226865,221.3535,3.38000178,194.148941,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:02,3,659.6818,0.0,1,2.0,1,2,2.311601,35.21533,8.208344,133.606766,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.79502535,155.579742,35.245533,895.123047,1.84697175,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.796448,1.35578465,0,195.078186,2,1,2,1,2,Inactive,12,1.35695982,1.20776224,0.113305382,0,7.031082,190.0282,29.2232761,0.615226865,221.3535,3.38000178,194.213028,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:03,3,660.3491,0.0,1,2.0,1,2,2.31044769,35.21533,8.209626,133.606766,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.80334854,155.579742,35.245533,895.3634,1.84697175,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.565735,1.35757732,0,195.078186,2,1,2,1,2,Inactive,12,1.35695982,1.20456,0.113305382,0,7.031082,190.0282,29.2232761,0.615226865,221.3535,3.38000178,194.213028,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:04,3,660.780945,0.0,1,2.0,1,2,2.31044769,35.21533,8.209626,133.606766,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.80875874,155.579742,35.245533,895.3634,1.84966207,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.5273,1.35757732,0,195.078186,2,1,2,1,2,Inactive,12,1.357857,1.20456,0.113305382,0,7.03749037,190.0282,29.2232761,0.8843886,221.3535,3.38000178,194.213028,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:05,3,661.0164,0.0,1,2.0,1,2,2.31108832,35.08716,8.209626,133.606766,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.812088,155.579742,35.245533,895.3634,1.85337722,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.335,1.35757732,0,195.078186,2,1,2,1,2,Inactive,12,1.35965145,1.20456,0.1129213,0,7.04069471,190.0282,29.2232761,0.8843886,221.3535,3.38000178,194.213028,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:06,3,661.0557,0.0,1,2.0,1,2,2.31608629,34.9589844,8.209626,133.606766,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.817914,155.579742,35.245533,895.3634,1.85734868,14.4151354,1,2,1,1,2,1,Inactive,Inactive,4,793.065857,1.35604072,0,195.078186,2,1,2,1,2,Inactive,12,1.36285567,1.20456,0.1129213,0,7.04357862,190.0282,29.2232761,0.8843886,221.3535,3.38000178,194.213028,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:07,3,661.330444,0.0,1,2.0,1,2,2.317624,34.9589844,8.204179,133.606766,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.820411,155.579742,35.245533,895.3634,1.86029518,14.3799219,1,2,1,1,2,1,Inactive,Inactive,4,793.6042,1.35604072,0,195.078186,2,1,2,1,2,Inactive,12,1.36362469,1.20456,0.1129213,0,7.05094862,190.0282,29.2232761,0.8843886,221.3535,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:08,3,661.3697,0.0,1,2.0,1,2,2.32146859,34.9589844,8.202577,133.888748,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82249165,155.579742,35.245533,895.3634,1.86055148,14.3799219,1,2,1,1,2,1,Inactive,Inactive,4,793.5273,1.35744929,0,195.078186,2,1,2,1,2,Inactive,12,1.36362469,1.20481622,0.1129213,0,7.052871,190.0282,29.2232761,0.8843886,221.3535,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:09,3,661.6445,0.0,1,2.0,1,2,2.32505679,34.9589844,8.199693,133.888748,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.579742,35.245533,895.3634,1.86055148,14.3799219,1,2,1,1,2,1,Inactive,Inactive,4,793.4119,1.35744929,0,195.078186,2,1,2,1,2,Inactive,12,1.36362469,1.20686567,0.1129213,0,7.054794,190.0282,29.2232761,0.6921302,221.337479,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:10,3,662.194031,0.0,1,2.0,1,2,2.32697916,34.734684,8.196809,133.888748,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.835846,35.245533,895.3634,1.85952652,14.3799219,1,2,1,1,2,1,Inactive,Inactive,4,793.2581,1.35616875,0,195.078186,2,1,2,1,2,Inactive,12,1.36093307,1.22198033,0.1129213,0,7.05831861,190.0282,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:11,3,662.351,0.0,1,2.0,1,2,2.32749176,34.734684,8.191361,133.888748,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.835846,35.245533,895.56366,1.85581136,14.3799219,1,2,1,1,2,1,Inactive,Inactive,4,793.4119,1.35488832,0,195.078186,2,1,2,1,2,Inactive,12,1.35888231,1.21890616,0.1129213,0,7.06056166,190.0282,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:12,3,662.429565,0.0,1,2.0,1,2,2.32762,34.734684,8.186555,133.888748,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.835846,35.245533,895.56366,1.85299289,14.3799219,1,2,1,1,2,1,Inactive,Inactive,4,793.5273,1.35744929,0,195.078186,2,1,2,1,2,Inactive,12,1.35849786,1.22313309,0.1129213,0,7.0628047,190.0282,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:13,3,662.429565,0.0,1,2.0,1,2,2.32762,34.734684,8.181748,133.888748,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.938278,35.245533,895.56366,1.85017443,14.3255005,1,2,1,1,2,1,Inactive,Inactive,4,792.988953,1.35757732,0,195.078186,2,1,2,1,2,Inactive,12,1.35849786,1.2349174,0.1129213,0,7.065368,190.0282,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:14,3,662.6258,0.0,1,2.0,1,2,2.32762,34.734684,8.181748,134.042557,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.938278,35.245533,895.56366,1.85017443,14.3223,1,2,1,1,2,1,Inactive,Inactive,4,793.142761,1.35757732,0,195.078186,2,1,2,1,2,Inactive,12,1.35849786,1.22659159,0.1129213,0,7.067611,190.0282,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:15,3,662.979065,0.0,1,2.0,1,2,2.32441616,34.734684,8.180467,134.042557,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.938278,35.245533,895.56366,1.85017443,14.2934885,1,2,1,1,2,1,Inactive,Inactive,4,793.335,1.35757732,0,195.078186,2,1,2,1,2,Inactive,12,1.35849786,1.22351742,0.1129213,0,7.069534,190.0282,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:16,3,663.3716,0.0,1,2.0,1,2,2.32121229,34.734684,8.176942,134.042557,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.82457256,155.938278,35.245533,895.56366,1.85017443,14.2934885,1,2,1,1,2,1,Inactive,Inactive,4,793.6042,1.359626,0,195.078186,2,1,2,1,2,Inactive,12,1.36042047,1.20276678,0.1129213,0,7.069534,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:17,3,663.5286,0.0,1,2.0,1,2,2.31864929,34.9589844,8.175981,134.247635,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.8316474,156.219986,35.245533,895.56366,1.85017443,14.2934885,1,2,1,1,2,1,Inactive,Inactive,4,793.950256,1.36052239,0,195.078186,2,1,2,1,2,Inactive,12,1.36054862,1.1958499,0.111384951,0,7.07081556,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:18,3,663.8034,0.0,1,2.0,1,2,2.31493282,35.0551147,8.172776,134.247635,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.8316474,156.2456,35.245533,895.56366,1.84927773,14.2934885,1,2,1,1,2,1,Inactive,Inactive,4,794.2194,1.36052239,0,195.078186,2,1,2,1,2,Inactive,12,1.36285567,1.20289481,0.111000866,0,7.07401943,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:19,3,663.999634,0.0,1,2.0,1,2,2.313395,35.0551147,8.172135,134.247635,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.83206367,156.2456,35.245533,895.56366,1.85119939,14.2934885,1,2,1,1,2,1,Inactive,Inactive,4,794.5655,1.35642481,0,195.078186,2,1,2,1,2,Inactive,12,1.365291,1.20481622,0.111000866,0,7.07401943,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:20,3,664.0782,0.0,1,2.0,1,2,2.31121659,35.0551147,8.17149448,134.247635,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.835393,156.2456,35.245533,896.3247,1.85119939,14.3383055,1,2,1,1,2,1,Inactive,Inactive,4,794.91156,1.35629678,0,195.078186,2,1,2,1,2,Inactive,12,1.36657274,1.221596,0.111000866,0,7.07401943,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:21,3,664.3529,0.0,1,2.0,1,2,2.31108832,35.0551147,8.17149448,134.247635,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.838306,156.2456,35.245533,896.765259,1.85248041,14.3831234,1,2,1,1,2,1,Inactive,Inactive,4,795.1038,1.35629678,0,195.078186,2,1,2,1,2,Inactive,12,1.36657274,1.22595108,0.111000866,0,7.07401943,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
2019-12-06 10:05:22,3,664.666931,0.0,1,2.0,1,2,2.309935,35.0551147,8.17149448,134.247635,2,2,1,2,1,1,1,1,1,Inactive,Inactive,Inactive,Inactive,7,6.838306,156.2456,35.245533,896.765259,1.85286474,14.3991289,1,2,1,1,2,1,Inactive,Inactive,4,795.949768,1.35629678,0,195.078186,2,1,2,1,2,Inactive,12,1.36400926,1.22595108,0.111000866,0,7.07401943,189.797485,29.2232761,0.6921302,221.273392,3.38000178,194.2611,2,1,2,2,1,1,Inactive,Inactive,2,0.000256303,2,1,1,Inactive,Inactive,Active,Inactive,Inactive,Active,0,0,normal,,
