start_time,end_time,attack_name,attack_id,start_time_raw,end_time_raw,start_datetime,end_datetime,duration_seconds,attack_label_interval,attack_name_interval
10:05,12:29,Normal / Exfiltration,0,10:05,12:29,2019-12-06 10:05:00,2019-12-06 12:29:00,8640,0,normal
12:30,12:33,Disrupt Sensor and Actuator (Burst 1),1,12:30,12:33,2019-12-06 12:30:00,2019-12-06 12:33:00,180,1,Disrupt Sensor and Actuator (Burst 1)
12:33,12:43,Normal (sleep),0,12:33,12:43,2019-12-06 12:33:00,2019-12-06 12:43:00,600,0,normal
12:43,12:46,Disrupt Sensor and Actuator (Burst 2),1,12:43,12:46,2019-12-06 12:43:00,2019-12-06 12:46:00,180,1,Disrupt Sensor and Actuator (Burst 2)
12:46,12:56,Normal,0,12:46,12:56,2019-12-06 12:46:00,2019-12-06 12:56:00,600,0,normal
12:56,12:59,Disrupt Sensor and Actuator (Burst 3),1,12:56,12:59,2019-12-06 12:56:00,2019-12-06 12:59:00,180,1,Disrupt Sensor and Actuator (Burst 3)
12:59,13:09,Normal,0,12:59,13:09,2019-12-06 12:59:00,2019-12-06 13:09:00,600,0,normal
13:09,13:12,Disrupt Sensor and Actuator (Burst 4),1,13:09,13:12,2019-12-06 13:09:00,2019-12-06 13:12:00,180,1,Disrupt Sensor and Actuator (Burst 4)
13:12,13:22,Normal,0,13:12,13:22,2019-12-06 13:12:00,2019-12-06 13:22:00,600,0,normal
13:22,13:25,Disrupt Sensor and Actuator (Burst 5),1,13:22,13:25,2019-12-06 13:22:00,2019-12-06 13:25:00,180,1,Disrupt Sensor and Actuator (Burst 5)
13:25,13:45,Normal,0,13:25,13:45,2019-12-06 13:25:00,2019-12-06 13:45:00,1200,0,normal
