P206.Status,MV501.Status,P203.Status,MV302.Status,MV101.Status,P4_STATE,P101.Status,P404.Status,P402.Status,P204.Status,MV504.Status,FIT503.Pv,UV401.Status,P401.Status,P5_STATE,FIT501.Pv,FIT401.Pv,FIT504.Pv,P501.Status,AIT201.Pv,AIT202.Pv,FIT301.Pv,t_stamp,P201.Status,FIT601.Pv,MV503.Status,P2_STATE,MV502.Status,PIT502.Pv,MV303.Status,PIT501.Pv,AIT503.Pv,P601.Status,P602.Status,P205.Status,PIT503.Pv,P3_STATE,AIT402.Pv,P202.Status,AIT203.Pv,AIT401.Pv,AIT501.Pv,AIT502.Pv,FIT201.Pv,LIT101.Pv,MV304.Status,P403.Status,FIT101.Pv,P102.Status,MV301.Status,P301.Status,AIT504.Pv,DPIT301.Pv,LIT401.Pv,LIT301.Pv,P1_STATE,FIT502.Pv,P502.Status,MV201.Status,P302.Status,P6_STATE
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.58702899999999,0.000896774756,2020-06-22 09:00:00,1.0,0.000256303465,1.0,1.0,1.0,16.73982,1.0,28.1658554,47.68008,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.31978999999999,257.4468,0.0003844552,602.412048,1.0,1.0,0.0,1.0,1.0,1.0,2.34555244,3.75504184,830.4794,1008.27515,1.0,0.00256180343999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.58702899999999,0.000896774756,2020-06-22 09:00:01,1.0,0.000256303465,1.0,1.0,1.0,16.73982,1.0,28.1658554,47.68008,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.31978999999999,257.4468,0.0003844552,602.3728,1.0,1.0,0.0,1.0,1.0,1.0,2.34555244,3.75504184,830.5563,1008.4754,1.0,0.00256180343999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.58190249999999,0.000896774756,2020-06-22 09:00:02,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.68008,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.31978999999999,257.4468,0.0003844552,602.2158,1.0,1.0,0.0,1.0,1.0,1.0,2.34555244,3.75504184,830.4409,1008.4754,1.0,0.00256180343999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.57517338,0.000896774756,2020-06-22 09:00:03,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.31978999999999,257.472443,0.0003844552,601.9018,1.0,1.0,0.0,1.0,1.0,1.0,2.65316582,3.75504184,830.979248,1008.4754,1.0,0.00256180343999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.56972599999999,0.000896774756,2020-06-22 09:00:04,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.262756,0.0,7.31978999999999,257.574982,0.0003844552,601.9018,1.0,1.0,0.0,1.0,1.0,1.0,2.65316582,3.75504184,830.5947,1008.4754,1.0,0.00256180343999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.56652164,0.000896774756,2020-06-22 09:00:05,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.416565,0.0,7.322033,257.574982,0.0003844552,602.0981,1.0,1.0,0.0,1.0,1.0,1.0,2.65316582,3.75504184,830.786999999999,1008.4754,1.0,0.00256180343999999,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.56139469,0.000896774756,2020-06-22 09:00:06,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.416565,0.0,7.323635,257.574982,0.0003844552,601.8233,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.825439,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.5591516500000004,0.000896774756,2020-06-22 09:00:07,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.416565,0.0,7.32395554,257.574982,0.0003844552,602.1766,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.8639,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.55626774,0.000896774756,2020-06-22 09:00:08,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.416565,0.0,7.32395554,257.574982,0.0003844552,602.412048,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.6332,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.55530643,0.000896774756,2020-06-22 09:00:09,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.416565,0.0,7.32395554,257.574982,0.0003844552,602.0981,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.671630999999,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.55338399999999,0.000896774756,2020-06-22 09:00:10,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.39093,0.0,7.32395554,257.574982,0.0003844552,602.1373,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.402466,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.551461,0.000896774756,2020-06-22 09:00:11,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.32395554,257.574982,0.0003844552,602.2158,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.402466,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.551461,0.000896774756,2020-06-22 09:00:12,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.32395554,257.574982,0.0003844552,602.1766,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.4409,1008.4754,1.0,0.00243371329,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.551461,0.000896774756,2020-06-22 09:00:13,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.32395554,257.574982,0.0003844552,602.529846,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.094849,1008.4754,1.0,0.00153708213,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.551461,0.000896774756,2020-06-22 09:00:14,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.32395554,257.574982,0.0003844552,602.4906,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.2102,1008.876,1.0,0.00153708213,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.559472,0.000896774756,2020-06-22 09:00:15,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.32235336,257.574982,0.0003844552,602.529846,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.0564,1008.876,1.0,0.00153708213,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00230451626999999,1.0,1.0,1.0,0.00256344536,0.000768295,0.0,1.0,54.6334267,7.56235599999999,0.000896774756,2020-06-22 09:00:16,1.0,0.000256303465,1.0,1.0,1.0,16.7558384,1.0,28.1658554,47.8082542,1.0,1.0,1.0,23.663805,99.0,0.0,1.0,175.237122,0.0,7.32011032,257.574982,0.0003844552,602.8046,1.0,1.0,0.0,1.0,1.0,1.0,2.49935913,3.75504184,830.2102,1008.876,1.0,0.00153708213,1.0,1.0,1.0,1.0
