number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_conv_channels_1,params_conv_channels_2,params_conv_channels_3,params_disc_hidden_1,params_disc_hidden_2,params_dropout,params_epochs,params_fusion_hidden,params_kernel_size,params_lr,params_n_conv_layers,params_optimizer,params_stride,params_window_size,state
16,0.39158757345285267,2026-05-02 16:29:15.151518,2026-05-02 16:29:40.717230,0 days 00:00:25.565712,0.30557233645075166,64.0,32.0,8.0,4.0,64.0,32.0,0.18603688941537255,40.0,128.0,5.0,0.0008622931547331273,1,AdamW,5,30,COMPLETE
32,0.4572856795275584,2026-05-02 16:37:13.134267,2026-05-02 16:37:38.456576,0 days 00:00:25.322309,0.30887252370927654,64.0,32.0,16.0,4.0,64.0,32.0,0.2736116162792446,40.0,256.0,5.0,0.000827851638943562,1,AdamW,5,30,COMPLETE
35,0.5101311760954559,2026-05-02 16:38:19.334123,2026-05-02 16:38:43.235004,0 days 00:00:23.900881,0.3614260673106786,64.0,64.0,8.0,16.0,128.0,32.0,0.17170066557197694,30.0,128.0,7.0,0.004570255495316685,1,Adam,5,30,COMPLETE
2,0.5334929944947362,2026-05-02 16:24:02.204267,2026-05-02 16:24:25.495905,0 days 00:00:23.291638,0.4272013899887455,128.0,32.0,8.0,4.0,64.0,32.0,0.2789092957027719,40.0,128.0,5.0,0.0023196088229293613,1,AdamW,5,30,COMPLETE
31,0.5452489170711488,2026-05-02 16:36:47.823098,2026-05-02 16:37:13.133264,0 days 00:00:25.310166,0.3060269816659436,64.0,32.0,16.0,4.0,64.0,32.0,0.298798234683692,40.0,256.0,5.0,0.0005147922474685323,1,AdamW,5,30,COMPLETE
10,0.5837367614731193,2026-05-02 16:27:19.250018,2026-05-02 16:27:44.684250,0 days 00:00:25.434232,0.3136395320274735,64.0,32.0,16.0,4.0,64.0,32.0,0.2977125571545032,40.0,256.0,5.0,0.0005293346475519412,1,AdamW,5,30,COMPLETE
11,0.6028603538870811,2026-05-02 16:27:44.685251,2026-05-02 16:28:10.816400,0 days 00:00:26.131149,0.3011864097935,64.0,32.0,16.0,4.0,64.0,32.0,0.297602413525522,40.0,256.0,5.0,0.00048575203983242896,1,AdamW,5,30,COMPLETE
27,0.7414237316697836,2026-05-02 16:32:30.480117,2026-05-02 16:32:52.367957,0 days 00:00:21.887840,0.3197209288283639,128.0,16.0,16.0,16.0,64.0,16.0,0.24947280382193412,30.0,128.0,5.0,0.0022983400076504418,1,Adam,5,30,COMPLETE
0,1.0140880636870861,2026-05-02 16:21:33.716805,2026-05-02 16:23:35.021231,0 days 00:02:01.304426,0.3488152939379115,128.0,64.0,8.0,16.0,128.0,32.0,0.1822634555704315,30.0,128.0,7.0,0.0043709904681305065,2,Adam,1,60,COMPLETE
6,1.063324763905257,2026-05-02 16:25:17.834462,2026-05-02 16:27:08.999029,0 days 00:01:51.164567,0.48623920725298403,128.0,32.0,32.0,4.0,32.0,64.0,0.23948855369003252,30.0,64.0,3.0,0.003251564545592097,1,AdamW,1,60,COMPLETE
4,1.0776820555329323,2026-05-02 16:24:56.081929,2026-05-02 16:25:07.651533,0 days 00:00:11.569604,0.542571623863836,128.0,32.0,32.0,8.0,64.0,16.0,0.1017089373146102,40.0,128.0,3.0,0.003214646526467847,1,Adam,10,60,COMPLETE
1,1.6815101611427963,2026-05-02 16:23:35.023637,2026-05-02 16:24:02.201743,0 days 00:00:27.178106,0.5493192507310232,64.0,16.0,32.0,8.0,32.0,64.0,0.059614704460251716,40.0,128.0,5.0,0.001732053535845956,2,Adam,5,120,COMPLETE
3,1.7032145941630006,2026-05-02 16:24:25.496905,2026-05-02 16:24:56.080928,0 days 00:00:30.584023,0.5143098736299033,32.0,64.0,32.0,8.0,128.0,16.0,0.1468358280832689,40.0,64.0,5.0,0.001967745288261344,1,AdamW,5,120,COMPLETE
