number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_conv_channels_1,params_conv_channels_2,params_conv_channels_3,params_disc_hidden_1,params_disc_hidden_2,params_dropout,params_fusion_hidden,params_kernel_size,params_lr,params_n_conv_layers,params_optimizer,params_stride,params_use_batchnorm,params_window_size,state
86,0.7586355785837651,2026-05-06 16:37:30.638505,2026-05-06 16:38:05.153288,0 days 00:00:34.514783,0.1267265728364756,32.0,64.0,8.0,8.0,64.0,32.0,0.15958224958258252,256.0,5.0,0.00015852813969149411,1,AdamW,5,False,60,COMPLETE
92,0.7561276626367299,2026-05-06 16:40:22.437394,2026-05-06 16:40:56.699637,0 days 00:00:34.262243,0.12943228966052248,32.0,64.0,8.0,8.0,64.0,32.0,0.10161209573779131,256.0,5.0,0.00019183250671598337,1,AdamW,5,False,60,COMPLETE
85,0.7551345710995969,2026-05-06 16:36:56.155171,2026-05-06 16:37:30.636505,0 days 00:00:34.481334,0.12701725837043265,32.0,64.0,8.0,8.0,64.0,32.0,0.16298281594694256,256.0,5.0,0.0001593649315288054,1,AdamW,5,False,60,COMPLETE
93,0.7550266263672999,2026-05-06 16:40:56.700639,2026-05-06 16:41:31.316943,0 days 00:00:34.616304,0.12832053729154466,32.0,64.0,8.0,8.0,64.0,32.0,0.10299798965817589,256.0,5.0,0.0001947324211969862,1,AdamW,5,False,60,COMPLETE
87,0.752979274611399,2026-05-06 16:38:05.155290,2026-05-06 16:38:39.340735,0 days 00:00:34.185445,0.12206003549591773,32.0,64.0,8.0,8.0,64.0,32.0,0.1105843681315774,256.0,5.0,0.00018916246510734496,1,AdamW,5,False,60,COMPLETE
89,0.7521948762233738,2026-05-06 16:39:13.377233,2026-05-06 16:39:48.287224,0 days 00:00:34.909991,0.13314357425605985,32.0,64.0,8.0,8.0,64.0,32.0,0.08548977823739953,256.0,5.0,0.00020225440999858046,1,AdamW,5,False,60,COMPLETE
94,0.7518890328151986,2026-05-06 16:41:31.317943,2026-05-06 16:42:06.286743,0 days 00:00:34.968800,0.1279174238502252,32.0,64.0,8.0,8.0,64.0,32.0,0.10231544974533792,256.0,5.0,0.00019685524070966036,1,AdamW,5,False,60,COMPLETE
88,0.7501097438111686,2026-05-06 16:38:39.341737,2026-05-06 16:39:13.376233,0 days 00:00:34.034496,0.12498708861461724,32.0,64.0,8.0,8.0,64.0,32.0,0.09896934695790822,256.0,5.0,0.00018164274556183927,1,AdamW,5,False,60,COMPLETE
95,0.7500395797351755,2026-05-06 16:42:06.288743,2026-05-06 16:42:41.460236,0 days 00:00:35.171493,0.1313159235346198,32.0,64.0,32.0,8.0,64.0,32.0,0.09578496537722041,256.0,5.0,0.00019083376419175182,1,AdamW,5,False,60,COMPLETE
91,0.7474453080023029,2026-05-06 16:39:48.290727,2026-05-06 16:40:22.435394,0 days 00:00:34.144667,0.13250798619028803,32.0,64.0,8.0,8.0,64.0,32.0,0.0945385355685294,256.0,5.0,0.0001886674743037339,1,AdamW,5,False,60,COMPLETE
84,0.746470207253886,2026-05-06 16:36:21.353612,2026-05-06 16:36:56.153171,0 days 00:00:34.799559,0.126333614742145,32.0,64.0,8.0,8.0,64.0,32.0,0.19207157784036805,256.0,5.0,0.00015564101718469064,1,AdamW,5,False,60,COMPLETE
80,0.744102619458837,2026-05-06 16:34:02.439689,2026-05-06 16:34:37.020709,0 days 00:00:34.581020,0.16001860653328825,32.0,64.0,8.0,8.0,64.0,32.0,0.19590486934632587,256.0,5.0,0.00015825850248371687,1,AdamW,5,False,60,COMPLETE
72,0.7433901842256764,2026-05-06 16:30:41.668933,2026-05-06 16:31:12.156257,0 days 00:00:30.487324,0.10257601761346807,64.0,64.0,8.0,8.0,64.0,32.0,0.22413834366373653,256.0,5.0,0.00010937470952654697,1,AdamW,5,True,60,COMPLETE
74,0.7416558721934369,2026-05-06 16:31:43.731469,2026-05-06 16:32:14.679791,0 days 00:00:30.948322,0.10623348744630887,64.0,64.0,8.0,8.0,64.0,32.0,0.2219815236605738,256.0,5.0,0.00011135711186703197,1,AdamW,5,True,60,COMPLETE
82,0.7363773747841105,2026-05-06 16:35:11.037322,2026-05-06 16:35:46.255491,0 days 00:00:35.218169,0.1567699620575648,32.0,64.0,8.0,8.0,64.0,32.0,0.19382964933454014,256.0,5.0,0.00010143681070017924,1,AdamW,5,False,60,COMPLETE
73,0.7362766263673,2026-05-06 16:31:12.158257,2026-05-06 16:31:43.729464,0 days 00:00:31.571207,0.11561516228750762,64.0,64.0,8.0,8.0,64.0,32.0,0.2212229967846164,256.0,5.0,0.00011605370017823276,1,AdamW,5,True,60,COMPLETE
