number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_conv_channels_1,params_conv_channels_2,params_conv_channels_3,params_disc_hidden_1,params_disc_hidden_2,params_dropout,params_fusion_hidden,params_kernel_size,params_lr,params_n_conv_layers,params_optimizer,params_stride,params_use_batchnorm,state
24,0.7119995132043325,2026-05-06 20:56:22.785612,2026-05-06 20:56:38.976639,0 days 00:00:16.191027,0.6020530627027444,64.0,128.0,8.0,8.0,32.0,16.0,0.07020137044901471,128.0,5.0,0.0008453553772467134,1,AdamW,10,True,COMPLETE
37,0.7104326396495071,2026-05-06 20:58:50.995692,2026-05-06 20:59:07.159871,0 days 00:00:16.164179,0.43821765520673406,64.0,128.0,8.0,16.0,32.0,16.0,0.11492737073962152,128.0,5.0,0.0004473705724290419,1,AdamW,10,True,COMPLETE
83,0.7089418279177315,2026-05-06 21:09:29.368237,2026-05-06 21:09:45.821041,0 days 00:00:16.452804,0.4732625637408314,64.0,128.0,8.0,8.0,32.0,64.0,0.160418824381284,256.0,5.0,0.00028196463201029636,1,AdamW,10,True,COMPLETE
42,0.7077248387489351,2026-05-06 20:59:55.479704,2026-05-06 21:00:12.115898,0 days 00:00:16.636194,0.4327384507209898,64.0,128.0,8.0,16.0,32.0,16.0,0.10816128456448931,128.0,5.0,0.0008177029162375175,1,AdamW,10,True,COMPLETE
13,0.7030698551782888,2026-05-06 20:53:28.601745,2026-05-06 20:53:45.380068,0 days 00:00:16.778323,0.46313866372371587,64.0,16.0,16.0,8.0,32.0,16.0,0.0018960478612358445,128.0,5.0,0.0009030098157566801,1,AdamW,10,True,COMPLETE
52,0.7004533284653767,2026-05-06 21:02:27.432321,2026-05-06 21:02:43.893423,0 days 00:00:16.461102,0.5915735668091965,64.0,128.0,8.0,8.0,32.0,64.0,0.11791413112629759,256.0,5.0,0.0003390779840198526,1,AdamW,10,True,COMPLETE
33,0.6993276134842399,2026-05-06 20:58:20.526194,2026-05-06 20:58:36.780047,0 days 00:00:16.253853,0.48768948779050414,64.0,128.0,8.0,8.0,32.0,64.0,0.10207323587694596,256.0,5.0,0.0004780286616363045,1,AdamW,10,True,COMPLETE
21,0.6969088475112571,2026-05-06 20:55:33.956143,2026-05-06 20:55:50.312387,0 days 00:00:16.356244,0.5489817519564029,64.0,128.0,8.0,8.0,32.0,64.0,0.0667103760170413,256.0,5.0,0.0005678655868891886,1,AdamW,10,True,COMPLETE
22,0.6966350249482779,2026-05-06 20:55:50.314387,2026-05-06 20:56:06.587910,0 days 00:00:16.273523,0.5345422571045094,64.0,128.0,8.0,8.0,32.0,64.0,0.08469602699781546,256.0,5.0,0.0005538506832256684,1,AdamW,10,True,COMPLETE
63,0.6965741754898381,2026-05-06 21:05:07.847249,2026-05-06 21:05:24.672489,0 days 00:00:16.825240,0.5188441170682674,64.0,128.0,8.0,8.0,32.0,64.0,0.1021816458849938,256.0,5.0,0.0004703160276784591,1,AdamW,10,True,COMPLETE
