attack_id,attack_name,n_ventanas,detectadas,perdidas,det_rate,avg_atk_frac,avg_score
1.0,"Stage 5 Valve Manipulation — MV503/504 Open, MV501/502 Close",35,0,35,0.0,0.857,0.0239
2.0,"Stage 1 Flow Disruption — MV101 Open, P101 & P102 Stop",35,0,35,0.0,0.857,0.0996
8.0,"Reverse Osmosis Backwash Diversion — MV302 Close, MV303 Open",35,14,21,0.4,0.857,0.2272
5.0,"Stage 5 Valve Manipulation — MV503/504 Open, MV501/502 Close (Repeat)",35,18,17,0.514,0.857,0.2498
11.0,AIT402 High-Value Spoof Start – Using script,35,29,6,0.829,0.857,0.2754
4.0,Tank Overflow via LIT101 Spoofing — Schneider Demo Attack 01,35,35,0,1.0,0.857,0.2515
6.0,Tank Overflow via LIT101 Spoofing — Schneider Demo Attack 01,15,15,0,1.0,0.833,0.5344
3.0,Florida Water Plant Scenario — Dosing Pump Activation & Sensor Spoofing,35,35,0,1.0,0.857,0.3988
7.0,"Stage 2 Parallel Pump Override — MV201 Open, P101 & P102 Run",32,32,0,1.0,0.922,0.9286
9.0,Forced Backwash Trigger via DPIT301 Spoofing — Ensign Pre-UAT Attack 1,35,35,0,1.0,0.857,0.516
10.0,Multi-Value Level Oscillation — LIT601 Spoofing Sequence — Ensign Pre-UAT Attack 3,35,35,0,1.0,0.857,0.8318
