sensor,mse_normal,mse_attack,delta,ratio
DPIT301.Pv,0.057607368,1.9239137,1.8663063,33.397007
LIT601.Pv,0.09230189,0.7935175,0.70121557,8.59698
LIT101.Pv,0.23055889,0.889909,0.65935016,3.8597906
FIT504.Pv,0.8634579,1.5211353,0.6576774,1.7616786
FIT301.Pv,0.0653316,0.69703525,0.6317037,10.669189
FIT602.Pv,0.22854547,0.7657679,0.5372224,3.350615
AIT303.Pv,0.47249725,1.0027152,0.530218,2.122161
PIT502.Pv,0.39518315,0.9203969,0.5252138,2.3290389
AIT503.Pv,0.20466238,0.6390425,0.4343801,3.122423
AIT201.Pv,0.15693003,0.43273455,0.27580452,2.7575
AIT501.Pv,0.15446888,0.4058166,0.25134772,2.627174
AIT202.Pv,0.16975875,0.3416212,0.17186244,2.0123923
FIT201.Pv,0.14179963,0.30356663,0.161767,2.140814
LIT301.Pv,0.11236199,0.2665489,0.1541869,2.3722336
LIT401.Pv,0.191456,0.33891517,0.14745916,1.7701987
AIT302.Pv,0.12997219,0.25481617,0.124843985,1.9605439
FIT503.Pv,0.09381868,0.15418544,0.060366765,1.6434408
AIT203.Pv,0.0828804,0.13107218,0.04819178,1.5814617
AIT301.Pv,0.056684222,0.0933142,0.03662998,1.6462111
PIT503.Pv,0.042972814,0.06747392,0.024501104,1.5701536
FIT401.Pv,0.03311678,0.055555586,0.022438806,1.677566
P501.Speed,0.045654584,0.067987,0.022332419,1.4891605
FIT501.Pv,0.03347182,0.054245744,0.020773925,1.6206392
PIT501.Pv,0.03392269,0.053909138,0.019986447,1.5891763
FIT502.Pv,0.043401167,0.06261203,0.01921086,1.4426347
FIT101.Pv,0.23146881,0.24893129,0.017462477,1.0754421
AIT504.Pv,0.0417106,0.057215527,0.015504926,1.3717263
AIT502.Pv,0.050320785,0.05774778,0.007426996,1.147593
AIT402.Pv,0.077282794,0.06265519,-0.014627606,0.8107262
FIT601.Pv,0.059929207,0.034771483,-0.025157724,0.5802093
LIT602.Pv,0.82383823,0.50733894,-0.3164993,0.6158235
