attack_id,nombre,n_ventanas,excluido,det_real_only,det_synthetic_only,det_real_plus_synthetic
1.0,Stage 5 Valve Manipulation — M,35,True,0.0,0.0,0.0
2.0,Stage 1 Flow Disruption — MV10,35,True,0.0,0.0,0.0
3.0,Florida Water Plant Scenario —,35,False,94.3,82.9,71.4
4.0,Tank Overflow via LIT101 Spoof,35,False,94.3,0.0,0.0
5.0,Stage 5 Valve Manipulation — M,35,False,34.3,11.4,14.3
6.0,Tank Overflow via LIT101 Spoof,15,False,86.7,60.0,80.0
7.0,Stage 2 Parallel Pump Override,32,False,93.8,68.8,75.0
8.0,Reverse Osmosis Backwash Diver,35,False,25.7,94.3,22.9
9.0,Forced Backwash Trigger via DP,35,False,94.3,94.3,94.3
10.0,Multi-Value Level Oscillation ,35,False,94.3,94.3,94.3
11.0,AIT402 High-Value Spoof Start ,35,False,74.3,94.3,94.3
