attack_id,n,det_real_only,det_synthetic_only,det_real_plus_synthetic
1,949,0.0,0.0,0.0
2,452,10.6,0.0,15.7
3,392,13.8,0.0,7.4
7,438,89.7,0.0,7.5
8,973,99.7,97.4,99.1
10,165,1.2,0.0,2.4
11,565,89.4,39.5,98.2
16,285,0.0,0.0,4.2
17,726,25.5,0.0,0.0
21,730,69.6,0.0,5.8
22,472,0.0,96.8,53.8
23,706,99.7,61.9,99.9
25,621,8.7,0.0,0.8
26,1454,3.1,7.2,1.6
27,1696,0.0,0.0,0.0
28,34213,93.9,93.5,95.6
30,1180,4.4,2.7,5.4
31,376,3.5,0.0,9.3
32,610,87.7,10.7,89.8
33,453,51.0,22.5,24.3
35,490,12.0,17.1,0.0
36,549,83.2,94.9,88.0
37,0,0.0,0.0,0.0
39,0,0.0,0.0,0.0
40,0,0.0,0.0,0.0
41,0,0.0,0.0,0.0
