sensor,mean_real,mean_synth,diff_mean,std_real,std_synth,diff_std,status
LIT101.Pv,0.5000954,0.50009507,3.5762787e-07,0.28866842,0.2886685,8.940697e-08,EXCELENTE
AIT201.Pv,0.50016433,0.47278693,0.027377397,0.28861037,0.24628903,0.04232134,BUENO
AIT202.Pv,0.50050664,0.3913016,0.10920504,0.28868836,0.227193,0.061495364,MODERADO
AIT203.Pv,0.4994646,0.4994643,2.9802322e-07,0.28854248,0.2885425,2.9802322e-08,EXCELENTE
AIT301.Pv,0.500703,0.5398799,0.03917694,0.28841397,0.19224894,0.09616503,MODERADO
AIT302.Pv,0.49945164,0.49945122,4.172325e-07,0.28860444,0.28860453,8.940697e-08,EXCELENTE
AIT303.Pv,0.5005459,0.50054556,3.5762787e-07,0.28829336,0.2882933,5.9604645e-08,EXCELENTE
LIT301.Pv,0.5006753,0.46332273,0.03735259,0.28845873,0.21272919,0.07572955,MODERADO
DPIT301.Pv,0.5000163,0.523631,0.023614705,0.28845954,0.20175807,0.08670147,MODERADO
LIT401.Pv,0.49953136,0.6843881,0.18485674,0.2885788,0.13044131,0.1581375,REVISAR
FIT401.Pv,0.4998704,0.64174443,0.14187405,0.2886122,0.20899835,0.079613835,REVISAR
AIT402.Pv,0.49967125,0.40448675,0.095184505,0.2885376,0.1644823,0.124055296,MODERADO
FIT501.Pv,0.500025,0.59886914,0.09884417,0.28817484,0.16506538,0.12310946,MODERADO
FIT502.Pv,0.5001472,0.48994085,0.010206372,0.28879267,0.20316017,0.0856325,MODERADO
FIT503.Pv,0.50029516,0.7516697,0.25137454,0.2874411,0.27000487,0.017436236,REVISAR
FIT504.Pv,0.4998648,0.46205893,0.037805855,0.2877629,0.2641869,0.023576021,BUENO
AIT501.Pv,0.5003617,0.42462015,0.07574153,0.28855306,0.14923055,0.1393225,MODERADO
AIT502.Pv,0.49975303,0.37729743,0.1224556,0.28853476,0.185687,0.102847755,REVISAR
AIT503.Pv,0.5005595,0.46959305,0.03096646,0.28848276,0.11875564,0.16972712,MODERADO
AIT504.Pv,0.49964193,0.4875844,0.012057513,0.28854233,0.14053386,0.14800847,MODERADO
PIT501.Pv,0.50070757,0.4102834,0.09042418,0.28836453,0.20730622,0.08105831,MODERADO
PIT502.Pv,0.0034053603,0.00067185785,0.0027335025,0.048925873,0.0015050836,0.04742079,BUENO
PIT503.Pv,0.5007712,0.36589375,0.13487747,0.28831384,0.21313028,0.075183555,REVISAR
LIT601.Pv,0.50026464,0.43915403,0.061110616,0.2888186,0.19831185,0.09050675,MODERADO
LIT602.Pv,0.5004153,0.39347282,0.106942505,0.2884529,0.2156501,0.0728028,MODERADO
FIT602.Pv,0.5007136,0.32315996,0.17755362,0.28843445,0.24079882,0.04763563,REVISAR
P501.Speed,0.9710013,0.99784195,0.026840627,0.16479902,0.003325539,0.16147348,MODERADO
